frame_id,track_id,x,y,w,h,group_id
30,1,55.199999999999996,352.8,28.799999999999997,79.2,1
30,2,93.6,355.2,33.6,79.2,1
60,1,57.599999999999994,372.0,38.4,86.39999999999999,1
60,2,108.0,376.8,40.8,79.2,1
90,1,81.6,391.2,38.4,84.0,1
90,2,132.0,393.59999999999997,28.799999999999997,84.0,1
90,3,300.0,938.4,81.6,139.2,0
120,1,96.0,417.59999999999997,40.8,81.6,1
120,2,146.4,417.59999999999997,38.4,91.2,1
120,3,237.6,859.1999999999999,74.39999999999999,168.0,0
150,1,120.0,439.2,40.8,88.8,1
150,2,172.79999999999998,444.0,31.2,88.8,1
150,3,184.79999999999998,794.4,64.8,146.4,0
180,1,141.6,465.59999999999997,45.6,105.6,1
180,2,194.4,470.4,28.799999999999997,93.6,1
180,3,122.39999999999999,732.0,64.8,146.4,0
180,4,631.1999999999999,266.4,21.599999999999998,57.599999999999994,0
210,1,172.79999999999998,494.4,33.6,103.2,1
210,2,218.4,496.79999999999995,31.2,108.0,1
210,3,72.0,672.0,62.4,146.4,0
210,4,655.1999999999999,300.0,28.799999999999997,74.39999999999999,0
240,1,194.4,520.8,40.8,117.6,1
240,2,244.79999999999998,530.4,33.6,93.6,1
240,3,50.4,628.8,45.6,134.4,0
240,4,688.8,340.8,38.4,72.0,0
270,1,228.0,561.6,43.199999999999996,122.39999999999999,1
270,2,268.8,556.8,40.8,110.39999999999999,1
270,3,21.599999999999998,573.6,45.6,129.6,0
270,4,760.8,393.59999999999997,40.8,81.6,0
270,5,40.8,309.59999999999997,38.4,84.0,2
270,6,84.0,314.4,36.0,76.8,2
270,7,588.0,283.2,36.0,69.6,0
300,1,256.8,592.8,43.199999999999996,112.8,1
300,2,300.0,585.6,36.0,120.0,1
300,3,7.199999999999999,552.0,28.799999999999997,98.39999999999999,0
300,4,878.4,448.8,52.8,86.39999999999999,0
300,5,62.4,326.4,40.8,88.8,2
300,6,105.6,336.0,31.2,76.8,2
300,7,600.0,292.8,33.6,69.6,0
330,1,292.8,636.0,40.8,112.8,1
330,2,338.4,624.0,43.199999999999996,132.0,1
330,4,1044.0,518.4,55.199999999999996,91.2,0
330,5,72.0,340.8,43.199999999999996,84.0,2
330,6,124.8,355.2,31.2,76.8,2
330,7,621.6,312.0,28.799999999999997,69.6,0
360,1,324.0,688.8,45.6,117.6,1
360,2,376.8,674.4,45.6,124.8,1
360,4,1200.0,609.6,50.4,81.6,0
360,5,96.0,364.8,36.0,84.0,2
360,6,139.2,372.0,38.4,81.6,2
360,7,652.8,326.4,24.0,62.4,0
390,1,350.4,734.4,50.4,129.6,1
390,2,412.8,724.8,52.8,134.4,1
390,4,1332.0,720.0,55.199999999999996,98.39999999999999,0
390,5,120.0,388.8,40.8,86.39999999999999,2
390,6,158.4,384.0,38.4,84.0,2
390,7,676.8,343.2,28.799999999999997,69.6,0
420,1,393.59999999999997,796.8,57.599999999999994,156.0,1
420,2,448.8,780.0,43.199999999999996,153.6,1
420,4,1466.3999999999999,892.8,67.2,124.8,0
420,5,134.4,412.8,40.8,86.39999999999999,2
420,6,168.0,408.0,48.0,98.39999999999999,2
420,7,696.0,362.4,31.2,64.8,0
450,1,444.0,856.8,60.0,156.0,1
450,2,492.0,849.6,50.4,144.0,1
450,5,163.2,427.2,40.8,105.6,2
450,6,204.0,434.4,38.4,96.0,2
450,7,724.8,376.8,28.799999999999997,67.2,0
480,1,504.0,919.1999999999999,55.199999999999996,144.0,1
480,2,552.0,904.8,55.199999999999996,160.79999999999998,1
480,5,189.6,460.79999999999995,33.6,100.8,2
480,6,235.2,458.4,38.4,93.6,2
480,7,763.1999999999999,398.4,31.2,72.0,0
510,5,201.6,487.2,48.0,105.6,2
510,6,259.2,487.2,45.6,108.0,2
510,7,799.1999999999999,415.2,26.4,79.2,0
540,5,232.79999999999998,513.6,45.6,117.6,2
540,6,290.4,516.0,38.4,110.39999999999999,2
540,7,837.6,441.59999999999997,31.2,74.39999999999999,0
570,5,256.8,544.8,50.4,117.6,2
570,6,321.59999999999997,544.8,38.4,117.6,2
570,7,890.4,458.4,33.6,72.0,0
600,5,297.59999999999997,588.0,43.199999999999996,120.0,2
600,6,357.59999999999997,583.1999999999999,38.4,115.19999999999999,2
600,7,950.4,475.2,38.4,74.39999999999999,0
630,5,338.4,624.0,45.6,122.39999999999999,2
630,6,393.59999999999997,621.6,48.0,108.0,2
630,7,1010.4,501.59999999999997,40.8,79.2,0
660,5,376.8,672.0,50.4,134.4,2
660,6,427.2,660.0,45.6,127.19999999999999,2
